question,answer
What is QAD ERP?,QAD ERP is an enterprise resource planning (ERP) system that helps organizations manage their business processes.
How does JK Tech enhance visibility of operations and performance?,JK Tech enhances visibility of operations and performance by implementing QAD ERP and providing application management support.
What is a claims administration system?,A claims administration system is a software application that helps organizations manage and process insurance claims.
How does JK Tech enable a seamless claims management process?,JK Tech enables a seamless claims management process by implementing a Progress-based integrated claims administration system.
What is a Progress-based ERP system?,A Progress-based ERP system is an enterprise resource planning (ERP) system that is built on the Progress platform.
How does JK Tech enhance digital experience?,JK Tech enhances digital experience by transforming a Progress-based ERP system.
What services does JK Tech provide?,"JK Tech provides services such as digitally transforming business functions, modernizing systems, enabling digital and business transformation, and providing application management support."
What is the project about?,Enhancing Digital Experience by Transforming a Progress Based ERP System
Who is the client?,QAD Application Management Support and Employee Onboarding Process Automation
What services were provided?,Application Managed Services for a Multinational Automotive Company
What was automated in SAP?,Automation of Report Generation and Data Maintenance in SAP leveraging RPA
What is the purpose of the web-based inventory tracking system?,Web-based Inventory Tracking System
What process was automated with RPA?,Automating Sales Reporting Process Leveraging Robotic Process Automation
What was implemented for the leading retailer in healthcare products?,ServiceNow Implementation for a Leading Retailer in Healthcare Products
What was managed for the leading credit management company?,Management of Business Transition & IT Landscape for a Leading Credit Management Company
What process was re-engineered for the leading dairy company?,Re-engineered the Milk Procurement Process for a Leading Dairy Company Through SAP Supported Solution
What was managed for the leading women-owned milk producer company?,Management of Business Transition & IT Landscape for a Leading Women Owned Milk Producer Company
What was done to modernize the IT systems?,Modernizing the IT Systems Using the Latest SaaS Digital Technologies
What solution was provided for warehouse management?,Multi Depot System: A Flexible & Efficient Solution for Warehouse Management
What system was implemented for order management?,Effective Order Management System to Seamlessly Manage the Retail Life Cycle
What was done to enhance user experience and performance optimization?,Enhanced User Experience and Performance Optimization for a Leader in Rail E-Commerce
What did the USA based retail company achieve?,USA Based Retail Company Doubles its Direct Commerce Business Across 600 Stores
What fueled business growth and expansion?,Organization Restructuring & Process Automation Fuels Business Growth & Expansion
What kind of reporting system was implemented?,Self Service MIS Reporting System
What was done to improve customer support?,Smarter Customer Support with Computer Telephony Integration
What was used to automate sales promotion analytics?,Automating the Sales Promotion Analytics Using an AI Recommendation Engine for Enhanced Operational Efficiency
What was done for supply chain management?,Efficient Supply Chain Management for a Leading Cold Chain Logistics Service Provider
How long has JK Tech been associated with the energy supply chain solutions provider?,The 10 Years’ Association of JK Tech with a Leading Energy Supply Chain Solutions Provider
What technologies were used for transforming business operations?,"Transforming Business Operations Leveraging Latest Microsoft Technologies, BizTalk & Azure Logic Apps"
What was implemented and supported for retail?,SAP IS Retail Implementation & Support
What was enhanced for duty allocation and management?,Enhanced Efficiency for Duty Allocation and Management Software
What were the major challenges faced by the client?,The client was struggling to create a digital workplace with primitive IT support and wanted to introduce a unified modernized service desk and platform-based service delivery. IT service desks relied on manual processes that were slow and inefficient. Eye test investigating reports were taking a long time to be uploaded to the respective case tickets and closure of the active case in Service Now. The waiting time for resolving tickets increased to 3 days against the targeted resolution of 8 hours.
What was the objective of the project?,"The objective was to automate the process of managing the Eye Test reports received as scanned PDFs, doing some investigations on the same, and updating the ServiceNow tickets."
What was the solution implemented?,UiPath robotic process automation integration with ServiceNow helped the IT service desk team to close the active cases with reports received from retail stores.
What is the integration between UiPath robotic process automation and ServiceNow?,"The integration between UiPath robotic process automation and ServiceNow allows the IT service desk team to close active cases with reports received from retail stores. Reports are automatically attached to the active cases and issues are updated with the attached reports on the self-service portal, resulting in the automatic closure of the case."
What are the benefits of the UiPath and ServiceNow integration?,The benefits of the UiPath and ServiceNow integration include: 1) Allowing 45% of service requests to be solved automatically. 2) Cutting average service desk call handling time by 30%. 3) Improving customer satisfaction scores by 70%.
What was the objective of the client in modernizing the Purchase Order and Approval system?,The objective of the client was to streamline procurement by modernizing the Purchase Order and Approval system. This would result in reducing the time to generate and raise a Purchase Order by 50%.
Who is the client in this case study?,The client is the 3rd largest home improvement chain in the US dedicated to delivering service and quality to the customers covering every home improvement need.
What were the challenges faced by the client in the procurement process?,The challenges faced by the client in the procurement process included: 1) Lack of process transparency. 2) Manual steps and intervention. 3) Loss of efficiency. 4) Lengthy process difficult to coordinate. 5) Security concerns.
What technology stack was used to modernize the Purchase Order system?,"Angular JS, Node JS, and MYSQL"
How many team members worked on the modernization?,15
What activities were conducted to understand the existing system and user interactions?,Overall system assessment and interfacing with the customer and their existing system
What are the benefits of the modernized Purchase Order system?,"Intuitive UI, automation, improved aesthetics, enhanced security, reduced time to generate and raise a PO, and saving man-hours"
What is the future plan for the modernized system?,Serve as a foundation for further product enhancements and easy integration with other modules in the retail ecosystem
What is the address of the global headquarters?,"3, Sector 3, Noida – 201301, India"
What is the phone number of the global headquarters?,+91 120 4606300
What is the email address of the global headquarters?,marketing@jktech.com
What is the address of the New York office?,"608, Fifth Avenue, Suite 401, New York, NY 10020, USA"
What is the phone number of the New York office?,+1-212-586-4066
What is the email address of the New York office?,marketing@jktech.com
What is the address of the New Jersey office?,"Court Plaza North, 25 Main Street, Suite 207, Hackensack, New Jersey, 07601, USA"
What is the phone number of the New Jersey office?,+1-732-529-2751
What is the email address of the New Jersey office?,marketing@jktech.com
What is the address of the London office?,"107-111 Fleet Street, London, EC4A 2AB, United Kingdom"
What is the phone number of the London office?,+44 (0) 20 8528 1021
What is the email address of the London office?,marketing@jktech.com
What is the address of the Netherlands office?,"World Trade Center, The Hague Business Center, Prinses Margrietplantsoen 33, 2595 AM The Hague, The Netherlands"
What is the phone number of the Netherlands office?,+31 (0)70 304 3665
What is the email address of the Netherlands office?,marketing@jktech.com
What is the address of the Sri Lanka office?,"Orion City, No. 752, Dr Danister De Silva Mawatha, Colombo 00900, Sri Lanka"
What is the phone number of the Sri Lanka office?,+94 112 686003
What is the email address of the Sri Lanka office?,marketing@jktech.com
What is the address of the Bangalore office?,"1465, 13th Cross Rd, 19th Main, HSR Layout, Sector 1, Bengaluru, Karnataka - 560102, India"
What is the phone number of the Bangalore office?,0120-4606300
What is the email address of the Bangalore office?,marketing@jktech.com
What is the address of the Delhi office?,"A-2, Shopping Complex, Masjid Moth, G.K. II, New Delhi, India – 110048"
What are the phone numbers of the Delhi office?,"011 29222864, 011 29222865"
What is the email address of the Delhi office?,marketing@jktech.com
